CustomerID,Lookalikes
C0001,"[('C0173', 0.9999999987151875), ('C0145', 0.9999949919723209), ('C0137', 0.9999946982680763)]"
C0002,"[('C0103', 0.9999993502213471), ('C0024', 0.9999981371395569), ('C0034', 0.9999942994376945)]"
C0003,"[('C0155', 0.9999996159457006), ('C0132', 0.9999981597569649), ('C0107', 0.9999970204752502)]"
C0004,"[('C0164', 0.9999993005704118), ('C0156', 0.9999992214244011), ('C0021', 0.9999831686571975)]"
C0005,"[('C0193', 0.9999999885232681), ('C0092', 0.9999995186259848), ('C0100', 0.9999911360325124)]"
C0006,"[('C0138', 0.9999999966050629), ('C0079', 0.9999961241266716), ('C0148', 0.9999093043993703)]"
C0007,"[('C0082', 0.9999999927393766), ('C0085', 0.9999933738178461), ('C0171', 0.9999777581610158)]"
C0008,"[('C0047', 0.9999998115780121), ('C0111', 0.9999838829932562), ('C0157', 0.9999080459398836)]"
C0009,"[('C0019', 0.9999377563528693), ('C0172', 0.9999055418525473), ('C0161', 0.9997013566441835)]"
C0010,"[('C0084', 0.9999999864109762), ('C0109', 0.9999941498800802), ('C0184', 0.9999874092698352)]"
C0011,"[('C0022', 0.999998984180604), ('C0197', 0.999981638742939), ('C0046', 0.9999778900110695)]"
C0012,"[('C0102', 0.9999939192236035), ('C0198', 0.9999876629699103), ('C0136', 0.9999638120142098)]"
C0013,"[('C0100', 0.9999994086416225), ('C0073', 0.9999990543691356), ('C0064', 0.9999988635670537)]"
C0014,"[('C0014', 1.0), ('C0110', 1.0), ('C0097', 1.0)]"
C0015,"[('C0149', 0.9999967640327179), ('C0087', 0.99998496553079), ('C0053', 0.9999110604679473)]"
C0016,"[('C0099', 0.9999999788650036), ('C0105', 0.9999987624901436), ('C0048', 0.9999952398309804)]"
C0017,"[('C0086', 0.9999998788469018), ('C0118', 0.9999977677213803), ('C0192', 0.9999965181873186)]"
C0018,"[('C0141', 0.9999996557763399), ('C0200', 0.9999969565573225), ('C0042', 0.9999800805149737)]"
C0019,"[('C0172', 0.9999966528239834), ('C0009', 0.9999377563528693), ('C0161', 0.9999117873946827)]"
C0020,"[('C0014', 1.0), ('C0110', 1.0), ('C0097', 1.0)]"
